date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:04	43/43	---MC-	200	added ('OK')	image/gif	date:Sun,%2003%20Nov%202024%2016:57:02%20GMT	http://in.getclicky.com/101375417ns.gif	C:/Users/Alex/Desktop/Site/V5/shahbazi2/in.getclicky.com/101375417ns.gif	(from https://greg.me/)
20:27:04	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22603f992e-1052%22	https://greg.me/assets/images/ajax-loader.gif	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/ajax-loader.gif	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:04	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226238694c-800%22	https://greg.me/assets/fonts/slick.eot	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/slick.eot	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:05	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226238694c-800%22	https://greg.me/assets/fonts/slick.eot?	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/slickd41d.eot	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:05	1380/1380	---M--	200	added ('OK')	font/woff	etag:%226238694e-564%22	https://greg.me/assets/fonts/slick.woff	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/slick.woff	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:05	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%226238694e-764%22	https://greg.me/assets/fonts/slick.ttf	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/slick.ttf	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:06	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226238694e-868%22	https://greg.me/assets/fonts/slick.svg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/slick.svg	(from https://greg.me/assets/css/vendor/slick-theme.css)
20:27:07	65112/65112	---M--	200	added ('OK')	application/octet-stream	etag:%226238694c-fe58%22	https://greg.me/assets/fonts/Feather.ttf?sdxovp	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/Feather144f.ttf	(from https://greg.me/assets/css/plugins/feature.css)
20:27:07	65188/65188	---M--	200	added ('OK')	font/woff	etag:%226238694c-fea4%22	https://greg.me/assets/fonts/Feather.woff?sdxovp	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/Feather144f.woff	(from https://greg.me/assets/css/plugins/feature.css)
20:27:08	222298/222298	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226238694c-3645a%22	https://greg.me/assets/fonts/Feather.svg?sdxovp	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/fonts/Feather144f.svg	(from https://greg.me/assets/css/plugins/feature.css)
20:27:08	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2016:57:06%20GMT	https://greg.me/assets/images/icons/arrow-icon.png	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/icons/arrow-icon.png	(from https://greg.me/assets/css/style.css)
20:27:09	44929/44929	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-af81%22	https://greg.me/assets/images/bg/bg-image-1.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-1.jpg	(from https://greg.me/assets/css/style.css)
20:27:10	40194/40194	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-9d02%22	https://greg.me/assets/images/bg/bg-image-2.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-2.jpg	(from https://greg.me/assets/css/style.css)
20:27:10	21817/21817	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-5539%22	https://greg.me/assets/images/bg/bg-image-3.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-3.jpg	(from https://greg.me/assets/css/style.css)
20:27:11	40194/40194	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-9d02%22	https://greg.me/assets/images/bg/bg-image-4.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-4.jpg	(from https://greg.me/assets/css/style.css)
20:27:11	44929/44929	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-af81%22	https://greg.me/assets/images/bg/bg-image-5.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-5.jpg	(from https://greg.me/assets/css/style.css)
20:27:12	37861/37861	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-93e5%22	https://greg.me/assets/images/bg/bg-image-6.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-6.jpg	(from https://greg.me/assets/css/style.css)
20:27:12	37861/37861	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-93e5%22	https://greg.me/assets/images/bg/bg-image-7.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-7.jpg	(from https://greg.me/assets/css/style.css)
20:27:13	38238/38238	---M--	200	added ('OK')	image/jpeg	etag:%2261199380-955e%22	https://greg.me/assets/images/bg/bg-image-8.jpg	C:/Users/Alex/Desktop/Site/V5/shahbazi2/greg.me/assets/images/bg/bg-image-8.jpg	(from https://greg.me/assets/css/style.css)
